Código Interno,Título ,Subtítulo,Autor/Org./Coordenador,ISBN,Tradução,Coleção,Edição,Volume,Classificação,Local de Publicação,Editora,Data,Número de Páginas,Exemplar
150.1,"Pais,  amigos ou censores",,Dirce Bastos Pereira da Silva,,,,4,,Psicologia,São Paulo,Paulinas,1982,213,1
150.2,Comunicação entre pais e filhos,a linguagem do sentir,Maria Tereza Maldonado,,,,2,,Psicologia,Petrópolis,Vozes,1981,168,1
150.3,Vamos construir lares felizes,manual para noivos e recém-casados,Pe. F.J. Heggen; J. C. Marlet,,Vitor Hugo,,2,,Psicologia,São Paulo,Paulinas,1982,189,1
150.4,Encontro de casais com Cristo,serviço de pastoral familiar paroquial,"Pe. Alfonso Pastore, camiliano",,,,7,,Psicologia,São Paulo,Paulinas,1987,92,1
150.5,Família,realidade se constrói,Janice Salomão,,,,2,,Psicologia,São Paulo,Paulinas,1979,94,1
150.6,As crianças falam com Deus,,Annejet Campbell,,Suely Mendes Brazão,,1,,Psicologia,São Paulo,AM,1990,103,1
150.7,Cura interior,uma vida consciente e integrada à luz da fé e da ciência,Pe. Isac Isaias Valle,,,,1,,Psicologia,Campinas,Raboni,2002,105,1
150.8,Estressados ou deprimidos,,Francesco Canova,,Clemente Raphael Mahl,Psicologia e você,1,,Psicologia,São Paulo,Paulinas,1999,78,1
209.1,Como a Igreja Católica Construiu a civilização ocidental,,Thomas E. Woods Jr.,,Élcio Carillo,,1,,História da Religião,São Paulo,Quadrante,2008,222,1
210.1,Caso você case...,,Aldo Vannuchi,,,,2,,Religião,São Paulo,Loyola,1983,66,1
210.2,Rumo à felicidade,,Fulton J. Sheen,,Dr. A. J. Alves das Neves,,4,,Religião,Porto,Livraria Figueirinhas,1960,255,1
210.3,Vida de casal,linhas de espiritualidade conjugal e familiar,Batista Borsato,,Euclides Carneiro da Silva,Espiritualidade familiar,1,,Religião,São Paulo,Paulinas,1998,220,1
210.4,A conquista das virtudes,,Francisco Faus,,,,1,,Religião,São Paulo,Cultor de Livros,2014,207,1
210.5,O livro proibido,,Neimar de Barros,,,,9,,Religião,São Paulo,O Recado,1979,88,1
210.6,Memórias de uma menina católica,,Mary McCarthy,,,Grandes escritores,1,,Religião,São Paulo,Círculo do Livro,1957,205,1
210.7,Falar com Deus,,Pe. Domingos Rebelo,,,,1,,Religião,Campinas,Raboni,1991,163,1
210.8,Vale a pena viver,razões para se crer em Crito hoje,Giovanni Martinetti,,,Juventude,4,,Religião,São Paulo,Salesina Dom Bosco,1980,349,1
210.9,O amor é contagioso,o evangelho da justiça,Papa Francisco,,Amabile Ilibrante Zavattini,,1,,Religião,São Paulo,Fontanar,2017,188,1
210.10,A vida de Jesus,,s/a,,Cedibra ,"textos da Bíblica, ilustrados com fotografias e cores",1,,Religião,Rio de Janeiro,Cedibra,1983,s.p.,1
210.11,Promessas de Jesus,,s/a,,Cedibra ,"textos da Bíblica, ilustrados com fotografias e cores",1,,Religião,Rio de Janeiro,Cedibra,1983,s.p.,1
210.12,Palavras de Jesus,,s/a,,Cedibra ,"textos da Bíblica, ilustrados com fotografias e cores",1,,Religião,Rio de Janeiro,Cedibra,1979,s.p.,1
210.13,Este rebelde quer ser padre,,Pe. Zezinho. SCJ,,,,1,,Religião,São Paulo,Paulinas,1972,78,1
210.14,O Evangelho do nosso Senhor Jesus Cristo,a luz do mundo,s/a,,,,1,,Religião,Reino Unido,Equality Comission,s.d.,s.p.,1
210.15,Maternidade e Espírito,,Luis H. Amadeo Maza; Pe. Fernando Alvarez,,"Pe. Frei César Maria de Taubaté, Capuchinho",Das mães,1,,Religião,São Paulo,Paulinas,s.d.,157,1
210.16,O milagre de Teresa,a impressionante história de fé e devoção que permitiu ao Papa Franscico declarar Madre Teresa de Calcutá é santa!,João Carlos Almeida,,,,1,,Religião,São Paulo,Planeta,2016,206,1
210.17,É sagrado viver,,Pe. Fábio de Melo,,,,1,,Religião,São Paulo,Planeta,2012,176,1
210.18,Caminhamos na estrada de Jesus,o evangelho de Marcos,Conferência Nacional dos Bispos do Brasil,,,,4,,Religião,São Paulo,Paulinas,1996,136,1
210.19,Francisco,o papa da simplicidade,Mario Escobar,,Dênia Sad,biografia,1,,Religião,Rio de Janeiro,Agir,2013,256,1
210.20,O Brasil que queremos,alternativas e protagonistas,"Conferência Nacional dos Bispos do Brasil, Regional Sul",,,,1,,Religião,Petrópolis,Vozes,1994,182,1
210.21,O direito de ser jovem,,"José Fernandes de Oliveira, Pe. Zezinho SCJ",,,,5,,Religião,São Paulo,Paulinas,1982,166,1
210.22,Esta juventude magnífica e seus namoros nem sempre maravilhosos...,,"Pe. Zezinho, SCJ",,,Compromisso,13,,Religião,São Paulo,Paulinas,1983,124,1
210.23,Realiza-te,,Carlos Dolza,,George Ignacio Loureiro Maissiat,Juventude hoje,1,,Religião,São Paulo,Paulinas,1966,369,1
210.24,Despertar de um senso crítico,para o reencontro da civilização com Deus,João Luiz de Freitas,,,,1,,Religião,Belo Horizonte,O Lutador,1988,176,1
210.25,Diga ao mundo que sou jovem,,"Pe. Zezinho, SCJ",,,,10,,Religião,São Paulo,Paulinas,1983,70,1
210.26,Catequese Renovada,versão popular,Fr. Bernardo Cansi,,,,2,,Religião,São Paulo,Paulinas,1985,117,1
210.27,Quando falam os sábios,"provérbios, Jó, Eclesiastes, Eclesiástico, Sabedoria",s/a,,Monjas Dominicanas,Deus fala aos homens,1,,Religião,São Paulo,Paulinas,1984,54,1
210.28,"Meu Cristo, estou de volta",Pastoral Carcerária aplicada no revolucionário sistema APAC,Mário Ottoboni,,,,1,,Religião,São Paulo,Paulinas,1979,226,1
210.29,Casamento,Plano de curso de prepração ao casamento,Movimento Familiar Cristão,,,,5,,Religião,Rio de Janeiro,Sonoviso do Brasil,1971,271,1
210.30,Visão global da vivência religiosa,,Frei Geraldo Carbonera,,,,1,,Religião,Curitiba,,1975,1,1
210.31,Torre de Babel,,Arthur Miranda,,,,1,,Religião,São Paulo,Shalom,1976,63,1
210.32,Pastoral da juventude,"um jeito de ser e fazer, somos igreja jovem",Joaquim Alberto Andrade Silva; Luis Duarte Vieira; Roberta Agustinho da Silva (orgs.),,,subsídio de estudo,1,,Religião,Brasília,PJ,2012,180,1;
210.32,Pastoral da juventude,"um jeito de ser e fazer, somos igreja jovem",Joaquim Alberto Andrade Silva; Luis Duarte Vieira; Roberta Agustinho da Silva (orgs.),,,subsídio de estudo,1,,Religião,Brasília,PJ,2012,180,2
210.32,Pastoral da juventude,"um jeito de ser e fazer, somos igreja jovem",Joaquim Alberto Andrade Silva; Luis Duarte Vieira; Roberta Agustinho da Silva (orgs.),,,subsídio de estudo,1,,Religião,Brasília,PJ,2012,180,3
210.33,Catecismo da Primeira Eucaristia,,"N. Maccari, FSP",,,,11,,Religião,São Paulo,Paulinas,1992,77,1
210.34,Como iniciar um grupo de jovens?,,Carmem Lucia Teixeira; Lourival Rodrigues da Silva (orgs.),,,Na trilha do grupo de jovens,2,,Religião,Brasília,CCJ,2013,113,1;
210.34,Como iniciar um grupo de jovens?,,Carmem Lucia Teixeira; Lourival Rodrigues da Silva (orgs.),,,Na trilha do grupo de jovens,2,,Religião,Brasília,CCJ,2013,113,2
210.34,Como iniciar um grupo de jovens?,,Carmem Lucia Teixeira; Lourival Rodrigues da Silva (orgs.),,,Na trilha do grupo de jovens,2,,Religião,Brasília,CCJ,2013,113,3
210.35,Como desenvolver a integração do grupo de jovens?,,"Alexandre Piero; Edison de Lima, SJ; Liciana Caneschi; Vansessa Aparecida Araújo Correira (orgs.)",,,Na trilha do grupo de jovens,2,,Religião,Brasília,CCJ,2013,84,1;
210.35,Como desenvolver a integração do grupo de jovens?,,"Alexandre Piero; Edison de Lima, SJ; Liciana Caneschi; Vansessa Aparecida Araújo Correira (orgs.)",,,Na trilha do grupo de jovens,2,,Religião,Brasília,CCJ,2013,84,2
